GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
calculator,com.example.pawo.calculator,Division,0,7,0,0,0,2,0,2,0,2
calculator,com.example.pawo.calculator,Multiplication,0,7,0,0,0,2,0,2,0,2
calculator,com.example.pawo.calculator,Substraction,0,7,0,0,0,2,0,2,0,2
calculator,com.example.pawo.calculator,PowerSquare,7,0,0,0,2,0,2,0,2,0
calculator,com.example.pawo.calculator,PowerCube,7,0,0,0,2,0,2,0,2,0
calculator,com.example.pawo.calculator,Root,6,0,0,0,2,0,2,0,2,0
calculator,com.example.pawo.calculator,Addition,0,7,0,0,0,2,0,2,0,2
calculator,com.example.pawo.calculator,Reverse,7,0,0,0,2,0,2,0,2,0
calculator,com.example.pawo.menu,Scanners,6,6,0,0,2,1,2,1,2,1
calculator,com.example.pawo.menu,App,16,0,0,0,5,0,2,0,2,0
calculator,com.example.pawo.menu,Calculator,30,90,5,6,6,21,5,8,0,4
